cam_name,condition,n,prevalence,se,lower_ci,higher_ci
multivitamin,US children,6122,0.62332,,0.6094791,0.6371545
multivitamin,ASD,88,0.65485,,0.548624,0.7610788
multivitamin,ID,69,0.55436,,0.4471008,0.6616171
multivitamin,DD,305,0.65096,,0.593313,0.7086157
multivitamin,"ASD, ID, or DD",359,0.65332,,0.6009278,0.7057081
specific vitamin,US children,1365,0.13286,,0.1237748,0.1419529
specific vitamin,ASD,20,0.17863,,0.09540313,0.2618489
specific vitamin,ID,23,0.19384,,0.09654851,0.2911292
specific vitamin,DD,69,0.16154,,0.1192007,0.203883
specific vitamin,"ASD, ID, or DD",89,0.17028,,0.1305272,0.2100406
mineral,US children,781,0.075782,,0.06892737,0.08263638
mineral,ASD,21,0.15151,,0.07284157,0.230179
mineral,ID,18,0.1247,,0.06258905,0.1868043
mineral,DD,60,0.1444,,0.1058075,0.1829893
mineral,"ASD, ID, or DD",69,0.13184,,0.09770727,0.1659725
any herb/supplement,US children,615,0.063807,,0.05784021,0.06977397
any herb/supplement,ASD,20,0.15858,,0.08743555,0.2297185
any herb/supplement,ID,8,0.069631,,0.01664411,0.1226182
any herb/supplement,DD,62,0.14784,,0.1090681,0.1866165
any herb/supplement,"ASD, ID, or DD",70,0.14189,,0.1072756,0.1764983
multivitamin,"no ASD, ID, or DD",5754,0.62116,,0.6068472,0.6354822
specific vitamin,"no ASD, ID, or DD",1275,0.13072,,0.1213726,0.1400636
mineral,"no ASD, ID, or DD",711,0.072366,,0.06545854,0.07927317
any herb/supplement,"no ASD, ID, or DD",545,0.059072,,0.05286762,0.06527636
