cam_name,condition,n,prevalence,se,lower_ci,higher_ci
any therapy,US children,917,0.074618,0.0032,0.06832466,0.08091074
any therapy,"ASD, ID, or DD",80,0.12335,0.016,0.0920752,0.1546265
chiropractic,US children,503,0.054911,0.0033,0.04834883,0.06147283
chiropractic,"ASD, ID, or DD",32,0.056238,0.012,0.03267136,0.07980485
massage,US children,162,0.014705,0.0015,0.01179303,0.01761658
massage,"ASD, ID, or DD",13,0.015013,0.0052,0.004732844,0.02529385
meditation,US children,137,0.013848,0.0016,0.01073788,0.01695788
meditation,"ASD, ID, or DD",17,0.029752,0.0093,0.01143434,0.04806869
yoga,US children,421,0.042236,0.0027,0.03687251,0.04760037
yoga,"ASD, ID, or DD",29,0.051239,0.0124,0.02685966,0.07561819
